Gender,Competition,Round,Country,Apparatus,Score,FullName
w,2022 Cairo World Cup,qual,EGY,BB,10.766,Jana Abdelsalam
w,2022 Cairo World Cup,final,EGY,UB,10.866,Jana Abdelsalam
w,2022 Cairo World Cup,qual,EGY,UB,11.233,Jana Abdelsalam
w,2022 Paris World Challenge Cup,qual,EGY,FX,11.0,Jana Abdelsalam
w,2022 Paris World Challenge Cup,qual,EGY,UB,12.2,Jana Abdelsalam
w,2023 52nd FIG Artistic Gymnastics World Championships,qual,EGY,BB,10.666,Jana Abdelsalam
w,2023 52nd FIG Artistic Gymnastics World Championships,qual,EGY,FX,11.4,Jana Abdelsalam
w,2023 52nd FIG Artistic Gymnastics World Championships,qual,EGY,UB,8.233,Jana Abdelsalam
w,2023 52nd FIG Artistic Gymnastics World Championships,qual,EGY,VT,12.4,Jana Abdelsalam
w,2023 Baku World Cup,qual,EGY,BB,11.533,Jana Abdelsalam
w,2023 Baku World Cup,qual,EGY,FX,11.866,Jana Abdelsalam
w,2023 Cairo World Cup,final,EGY,BB,11.366,Jana Abdelsalam
w,2023 Cairo World Cup,qual,EGY,BB,12.166,Jana Abdelsalam
w,2023 Cairo World Cup,qual,EGY,UB,10.766,Jana Abdelsalam
w,2023 Doha World Cup,final,EGY,BB,13.0,Jana Abdelsalam
w,2023 Doha World Cup,qual,EGY,BB,12.933,Jana Abdelsalam
w,2023 Doha World Cup,qual,EGY,UB,9.333,Jana Abdelsalam
m,2023 10th Senior Artistic Gymnastics Asian Championships,qual,MAS,PB,11.866,Ally Hamuda Abdullah
m,2023 10th Senior Artistic Gymnastics Asian Championships,qual,MAS,SR,13.366,Ally Hamuda Abdullah
m,2023 Cottbus World Cup,qual,MAS,SR,9.933,Ally Hamuda Abdullah
w,2022 British Gymnastics Championships,qual,GBR,BB,10.2,Ayesha Abdullahi
w,2022 British Gymnastics Championships,qual,GBR,UB,10.2,Ayesha Abdullahi
m,2022 51st FIG Artistic Gymnastics World Championships,qual,UZB,HB,13.266,Rasuljon Abdurakhimov
m,2022 51st FIG Artistic Gymnastics World Championships,qual,UZB,PB,14.233,Rasuljon Abdurakhimov
m,2022 9th Senior Artistic Gymnastics Asian Championships,qual,UZB,FX,12.667,Rasuljon Abdurakhimov
m,2022 9th Senior Artistic Gymnastics Asian Championships,qual,UZB,HB,12.433,Rasuljon Abdurakhimov
m,2022 9th Senior Artistic Gymnastics Asian Championships,qual,UZB,PB,13.4,Rasuljon Abdurakhimov
m,2022 9th Senior Artistic Gymnastics Asian Championships,qual,UZB,PH,10.5,Rasuljon Abdurakhimov
m,2022 9th Senior Artistic Gymnastics Asian Championships,qual,UZB,SR,12.567,Rasuljon Abdurakhimov
m,2022 Baku World Cup,qual,UZB,HB,13.266,Rasuljon Abdurakhimov
m,2022 Baku World Cup,qual,UZB,PB,12.333,Rasuljon Abdurakhimov
m,2022 Cairo World Cup,qual,UZB,HB,11.833,Rasuljon Abdurakhimov
m,2022 Cairo World Cup,qual,UZB,PB,14.033,Rasuljon Abdurakhimov
m,2022 Cairo World Cup,final,UZB,PB,14.1,Rasuljon Abdurakhimov
m,2022 Doha World Cup,qual,UZB,PB,11.833,Rasuljon Abdurakhimov
m,2023 10th Senior Artistic Gymnastics Asian Championships,final,UZB,HB,13.2,Rasuljon Abdurakhimov
m,2023 10th Senior Artistic Gymnastics Asian Championships,qual,UZB,HB,13.666,Rasuljon Abdurakhimov
m,2023 10th Senior Artistic Gymnastics Asian Championships,qual,UZB,PB,12.7,Rasuljon Abdurakhimov
m,2023 10th Senior Artistic Gymnastics Asian Championships,qual,UZB,PH,11.133,Rasuljon Abdurakhimov
m,2023 52nd FIG Artistic Gymnastics World Championships,qual,UZB,HB,13.266,Rasuljon Abdurakhimov
m,2023 52nd FIG Artistic Gymnastics World Championships,qual,UZB,PB,13.0,Rasuljon Abdurakhimov
m,2023 52nd FIG Artistic Gymnastics World Championships,qual,UZB,PH,10.1,Rasuljon Abdurakhimov
m,2023 Baku World Cup,qual,UZB,HB,12.533,Rasuljon Abdurakhimov
m,2023 Baku World Cup,final,UZB,PB,14.266,Rasuljon Abdurakhimov
m,2023 Baku World Cup,qual,UZB,PB,14.266,Rasuljon Abdurakhimov
m,2023 Varna World Challenge Cup,final,UZB,HB,12.3,Rasuljon Abdurakhimov
m,2023 Varna World Challenge Cup,qual,UZB,HB,13.35,Rasuljon Abdurakhimov
m,2023 Varna World Challenge Cup,final,UZB,PB,14.233,Rasuljon Abdurakhimov
m,2023 Varna World Challenge Cup,qual,UZB,PB,14.5,Rasuljon Abdurakhimov
m,2023 Varna World Challenge Cup,qual,UZB,SR,12.5,Rasuljon Abdurakhimov
m,2022 Baku World Cup,qual,GEO,FX,11.766,Saba Abesadze
m,2022 Baku World Cup,qual,GEO,PH,12.633,Saba Abesadze
m,2022 Baku World Cup,qual,GEO,SR,12.933,Saba Abesadze
m,2022 Doha World Cup,qual,GEO,FX,12.433,Saba Abesadze
m,2022 Doha World Cup,qual,GEO,PB,11.566,Saba Abesadze
m,2022 Doha World Cup,qual,GEO,SR,13.1,Saba Abesadze
m,2022 Doha World Cup,final,GEO,SR,12.233,Saba Abesadze
m,2022 Senior European Championships,qual,GEO,FX,11.6,Saba Abesadze
m,2022 Senior European Championships,qual,GEO,HB,11.066,Saba Abesadze
m,2022 Senior European Championships,qual,GEO,PB,13.166,Saba Abesadze
m,2022 Senior European Championships,qual,GEO,PH,11.5,Saba Abesadze
m,2022 Senior European Championships,qual,GEO,SR,13.033,Saba Abesadze
m,2022 Senior European Championships,qual,GEO,VT,12.866,Saba Abesadze
m,2023 Baku World Cup,qual,GEO,FX,12.766,Saba Abesadze
m,2023 Baku World Cup,qual,GEO,PB,12.9,Saba Abesadze
m,2023 Cottbus World Cup,qual,GEO,FX,13.033,Saba Abesadze
m,2023 Cottbus World Cup,qual,GEO,PB,12.7,Saba Abesadze
m,2023 Cottbus World Cup,qual,GEO,PH,13.0,Saba Abesadze
m,2023 Doha World Cup,qual,GEO,FX,11.733,Saba Abesadze
m,2023 Doha World Cup,qual,GEO,PB,12.866,Saba Abesadze
m,2023 Doha World Cup,qual,GEO,PH,12.266,Saba Abesadze
m,2023 Senior European Championships,qual,GEO,PB,12.066,Saba Abesadze
w,BIRMINGHAM 2022 Commonwealth Games,qual,SRI,BB,9.1,Kumudi Imanya Abeyratne
w,BIRMINGHAM 2022 Commonwealth Games,qual,SRI,FX,7.35,Kumudi Imanya Abeyratne
w,BIRMINGHAM 2022 Commonwealth Games,qual,SRI,UB,5.5,Kumudi Imanya Abeyratne
w,2022 51st FIG Artistic Gymnastics World Championships,qual,EGY,BB,10.5,Jana Aboelhasan
w,2022 51st FIG Artistic Gymnastics World Championships,qual,EGY,FX,12.266,Jana Aboelhasan
w,2022 51st FIG Artistic Gymnastics World Championships,qual,EGY,UB,10.9,Jana Aboelhasan
w,2022 51st FIG Artistic Gymnastics World Championships,qual,EGY,VT,11.6,Jana Aboelhasan
w,2022 Paris World Challenge Cup,qual,EGY,BB,10.5,Jana Aboelhasan
w,2022 Paris World Challenge Cup,qual,EGY,FX,10.65,Jana Aboelhasan
w,2023 Artistic Gymnastics Senior Pan American Championships,TeamQual,DOM,BB,10.1,Yamilet Abreu
w,2023 Artistic Gymnastics Senior Pan American Championships,TeamQual,DOM,FX,12.367,Yamilet Abreu
w,2023 Artistic Gymnastics Senior Pan American Championships,TeamQual,DOM,UB,11.733,Yamilet Abreu
w,2023 Artistic Gymnastics Senior Pan American Championships,TeamQual,DOM,VT,12.567,Yamilet Abreu
m,2022 51st FIG Artistic Gymnastics World Championships,final,JOR,PH,14.866,Ahmad Abu al soud
m,2022 51st FIG Artistic Gymnastics World Championships,qual,JOR,PH,14.366,Ahmad Abu al soud
m,2023 52nd FIG Artistic Gymnastics World Championships,final,JOR,PH,14.633,Ahmad Abu al soud
m,2023 52nd FIG Artistic Gymnastics World Championships,qual,JOR,PH,14.9,Ahmad Abu al soud
m,2023 Baku World Cup,qual,JOR,PH,12.8,Ahmad Abu al soud
m,2023 Cottbus World Cup,final,JOR,PH,11.8,Ahmad Abu al soud
m,2023 Cottbus World Cup,qual,JOR,PH,14.6,Ahmad Abu al soud
m,2023 Doha World Cup,qual,JOR,PH,13.666,Ahmad Abu al soud
m,HANGZHOU 2022 19th Asian Games,qual,JOR,PH,12.766,Ahmad Abu al soud
w,2022 51st FIG Artistic Gymnastics World Championships,qual,GBR,BB,12.966,Ondine Achampong
w,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,GBR,BB,13.7,Ondine Achampong
w,2022 51st FIG Artistic Gymnastics World Championships,qual,GBR,FX,13.333,Ondine Achampong
w,2022 51st FIG Artistic Gymnastics World Championships,qual,GBR,UB,12.833,Ondine Achampong
w,2022 51st FIG Artistic Gymnastics World Championships,TeamFinal,GBR,VT,14.366,Ondine Achampong
w,2022 51st FIG Artistic Gymnastics World Championships,qual,GBR,VT,14.466,Ondine Achampong
w,2022 British Gymnastics Championships,final,GBR,BB,12.8,Ondine Achampong
w,2022 British Gymnastics Championships,qual,GBR,BB,13.65,Ondine Achampong
w,2022 British Gymnastics Championships,qual,GBR,FX,12.5,Ondine Achampong
w,2022 British Gymnastics Championships,final,GBR,UB,12.9,Ondine Achampong
w,2022 British Gymnastics Championships,qual,GBR,UB,13.1,Ondine Achampong
w,2022 British Gymnastics Championships,qual,GBR,VT,14.25,Ondine Achampong
w,2022 Senior European Championships,final,GBR,BB,13.4,Ondine Achampong
w,2022 Senior European Championships,qual,GBR,BB,13.266,Ondine Achampong
w,2022 Senior European Championships,TeamFinal,GBR,BB,13.7,Ondine Achampong
w,2022 Senior European Championships,qual,GBR,FX,12.666,Ondine Achampong
w,2022 Senior European Championships,qual,GBR,UB,12.233,Ondine Achampong
w,2022 Senior European Championships,TeamFinal,GBR,UB,12.433,Ondine Achampong
w,2022 Senior European Championships,qual,GBR,VT,13.933,Ondine Achampong
w,2022 Senior European Championships,TeamFinal,GBR,VT,13.9,Ondine Achampong
w,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,GBR,BB,13.6,Ondine Achampong
w,2023 52nd FIG Artistic Gymnastics World Championships,qual,GBR,BB,13.433,Ondine Achampong
w,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,GBR,BB,13.933,Ondine Achampong
w,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,GBR,FX,12.7,Ondine Achampong
w,2023 52nd FIG Artistic Gymnastics World Championships,qual,GBR,FX,12.866,Ondine Achampong
w,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,GBR,UB,12.533,Ondine Achampong
w,2023 52nd FIG Artistic Gymnastics World Championships,qual,GBR,UB,12.733,Ondine Achampong
w,2023 52nd FIG Artistic Gymnastics World Championships,AAfinal,GBR,VT,14.133,Ondine Achampong
w,2023 52nd FIG Artistic Gymnastics World Championships,TeamFinal,GBR,VT,14.166,Ondine Achampong
w,2023 52nd FIG Artistic Gymnastics World Championships,qual,GBR,VT,14.3,Ondine Achampong
w,2023 British Gymnastics Championships,final,GBR,BB,13.8,Ondine Achampong
w,2023 British Gymnastics Championships,qual,GBR,BB,13.8,Ondine Achampong
w,2023 British Gymnastics Championships,final,GBR,FX,11.95,Ondine Achampong
w,2023 British Gymnastics Championships,qual,GBR,FX,13.2,Ondine Achampong
w,2023 British Gymnastics Championships,final,GBR,UB,14.1,Ondine Achampong
w,2023 British Gymnastics Championships,qual,GBR,UB,13.7,Ondine Achampong
w,2023 British Gymnastics Championships,qual,GBR,VT,14.3,Ondine Achampong
w,2023 Senior European Championships,final,GBR,BB,13.533,Ondine Achampong
w,2023 Senior European Championships,qual,GBR,BB,13.366,Ondine Achampong
w,2023 Senior European Championships,qual,GBR,FX,13.166,Ondine Achampong
w,2023 Senior European Championships,qual,GBR,VT,13.966,Ondine Achampong
w,BIRMINGHAM 2022 Commonwealth Games,AAfinal,GBR,BB,12.5,Ondine Achampong
w,BIRMINGHAM 2022 Commonwealth Games,qual,GBR,BB,13.3,Ondine Achampong
w,BIRMINGHAM 2022 Commonwealth Games,AAfinal,GBR,FX,13.35,Ondine Achampong
w,BIRMINGHAM 2022 Commonwealth Games,final,GBR,FX,13.033,Ondine Achampong
w,BIRMINGHAM 2022 Commonwealth Games,qual,GBR,FX,12.55,Ondine Achampong
w,BIRMINGHAM 2022 Commonwealth Games,AAfinal,GBR,UB,13.25,Ondine Achampong
w,BIRMINGHAM 2022 Commonwealth Games,final,GBR,UB,13.433,Ondine Achampong
w,BIRMINGHAM 2022 Commonwealth Games,qual,GBR,UB,13.75,Ondine Achampong
w,BIRMINGHAM 2022 Commonwealth Games,AAfinal,GBR,VT,13.9,Ondine Achampong
m,BIRMINGHAM 2022 Commonwealth Games,AAqual,GBR,VT,14.15,Ondine Achampong
w,2022 Osijek World Challenge Cup,qual,CHI,FX,11.933,Barbara Achondo andino
w,2023 Artistic Gymnastics Senior Pan American Championships,TeamQual,CHI,BB,10.933,Barbara Achondo andino
w,2023 Artistic Gymnastics Senior Pan American Championships,TeamQual,CHI,FX,12.3,Barbara Achondo andino
w,2023 Artistic Gymnastics Senior Pan American Championships,TeamQual,CHI,UB,10.733,Barbara Achondo andino
w,SANTIAGO 2023 XIX Pan American Games,AAfinal,CHI,BB,11.1,Barbara Achondo andino
w,SANTIAGO 2023 XIX Pan American Games,qual,CHI,BB,11.033,Barbara Achondo andino
w,SANTIAGO 2023 XIX Pan American Games,AAfinal,CHI,FX,12.333,Barbara Achondo andino
w,SANTIAGO 2023 XIX Pan American Games,final,CHI,FX,12.2,Barbara Achondo andino
w,SANTIAGO 2023 XIX Pan American Games,qual,CHI,FX,12.633,Barbara Achondo andino
w,SANTIAGO 2023 XIX Pan American Games,AAfinal,CHI,UB,8.266,Barbara Achondo andino
w,SANTIAGO 2023 XIX Pan American Games,qual,CHI,UB,11.433,Barbara Achondo andino
w,SANTIAGO 2023 XIX Pan American Games,AAfinal,CHI,VT,11.4,Barbara Achondo andino
w,SANTIAGO 2023 XIX Pan American Games,qual,CHI,VT,11.366,Barbara Achondo andino
m,2023 Central American and Caribbean Games,AAfinal,CRC,FX,12.5,Francisco Acuna
m,2023 Central American and Caribbean Games,qual,CRC,FX,12.3,Francisco Acuna
m,2023 Central American and Caribbean Games,AAfinal,CRC,HB,12.15,Francisco Acuna
m,2023 Central American and Caribbean Games,final,CRC,HB,11.85,Francisco Acuna
m,2023 Central American and Caribbean Games,qual,CRC,HB,12.2,Francisco Acuna
m,2023 Central American and Caribbean Games,AAfinal,CRC,PB,12.9,Francisco Acuna
